building	shop	prper	names	rents	locs2	schools	shopadd	locs1	lines	sales	years	houses	comper	url	build	prices	counts	devloper	types	discribe
1栋	暂无门店信息	暂无信息	画家村别墅	0	燕郊城区			燕郊		0	未知类型?未知年	1户	暂无信息	http://bj.lianjia.com/xiaoqu/2011100343941/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
10栋	暂无门店信息	3.68元/平米/月	保利首开四季怡园	0	冯村			门头沟		0	板楼?2018年	2096户	保利物业管理(北京)有限公司	http://bj.lianjia.com/xiaoqu/1111063481831/	板楼	暂无均价	0	保利地产		容积率/2.5??绿化率/30%
2栋	金隅观澜店	暂无信息	龙水路22号院	0	东关	近地铁昌平线昌平东关站	龙水路38号院6号楼	昌平		0	板楼?未知年	114户	暂无信息	http://bj.lianjia.com/xiaoqu/1111062529689/	板楼	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
6栋	暂无门店信息	暂无信息	逸轩	0	怀柔			怀柔		0	板楼?未知年	0户	暂无信息	http://bj.lianjia.com/xiaoqu/1111063952967/	板楼	暂无均价	0	暂无信息		容积率/0.99??绿化率/42%
3栋	丁丁虚拟11店	暂无信息	中国铁建耀中心	0	苹果园		无	石景山	1号线苹果园站	0	塔楼?未知年	316户	中铁建设集团物业管理有限公司	http://bj.lianjia.com/xiaoqu/1111062897051/	塔楼	暂无均价	0	中铁建设集团北京佳景晟房地产有限公司		容积率/4.5??绿化率/30%
5栋	暂无门店信息	暂无信息	高井32号院	0	石景山其它			石景山		0	未知类型?未知年	289户	暂无信息	http://bj.lianjia.com/xiaoqu/1111041485882/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
1栋	冠城南园店	暂无信息	冠海大厦	0	马甸		海淀马甸路中航宿舍底墒	海淀	10号线健德门站	0	塔楼?未知年	301户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027374567/	塔楼	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
33栋	八角南路店	0.5元/平米/月	八角路小区	8	八角		北京市石景山八角南路1号3幢1层102	石景山	1号线古城站	0	板楼?1960年	1573户	北京首钢物业管理有限公司	http://bj.lianjia.com/xiaoqu/1111027375916/	板楼	33366	0	北京首钢房地产开发有限公司		容积率/1.1??绿化率/30%
3栋	远洋山水东门店	暂无信息	雕塑园南街18号院	6	鲁谷		石景山玉泉西里二区29好楼1层29-10	石景山	1号线八宝山站	0	未知类型?未知年	566户	暂无信息	http://bj.lianjia.com/xiaoqu/1111046463472/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
3栋	京汉旭城店	暂无信息	张仪村路98号院	0	鲁谷		石景山区八宝山南路京汉旭城家园	石景山		0	未知类型?未知年	3户	暂无信息	http://bj.lianjia.com/xiaoqu/1111043439726/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
