building,shop,prper,names,rents,locs2,schools,shopadd,locs1,lines,sales,years,houses,comper,url,build,prices,counts,devloper,types,discribe
5栋,普罗旺斯东店,暂无信息,黄金花园,4,燕郊城区,,燕郊燕昌路与学院街交汇处,燕郊,,0,塔楼 未知年,2860户,暂无信息,http://bj.lianjia.com/xiaoqu/2011047921740/,塔楼,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
3栋,保利店,暂无信息,兴华大街,0,黄村北,,大兴区新城北区2号地23号商业办公楼1层,大兴,4号线高米店北站,0,板楼 未知年,35户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027380799/,板楼,暂无均价,0,北京福发房地产开发有限公司,,容积率/2.4  绿化率/30%
14栋,时代龙和店,暂无信息,利民西巷,0,黄村中,,大兴区黄村镇富强路4号（中国建设银行旁）,大兴,4号线黄村西大街站,0,板楼 未知年,45户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027378012/,板楼,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,梨园店,暂无信息,运河西大街37号院,0,果园,近地铁八通线九棵树站,通州区云景东路15号院11号楼,通州,,0,板楼 未知年,48户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027381733/,板楼,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
2栋,金隅观澜店,暂无信息,龙水路22号院,0,东关,近地铁昌平线昌平东关站,龙水路38号院6号楼,昌平,,0,板楼 未知年,114户,暂无信息,http://bj.lianjia.com/xiaoqu/1111062529689/,板楼,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,暂无门店信息,暂无信息,政府街酒厂综合楼,0,西关环岛,近地铁昌平线昌平站,,昌平,,0,板楼 未知年,1户,暂无信息,http://bj.lianjia.com/xiaoqu/1111862089937271/,板楼,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,育新北口店,暂无信息,金达园写字楼,0,安宁庄,,海淀区西三旗育新小北口金燕龙大厦底墒,昌平,,0,板楼 未知年,4户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027377097/,板楼,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,冠庭园店,暂无信息,龙冠置业大厦,0,龙泽,,昌平区回龙观镇冠庭园10号楼1-B-2,昌平,13号线龙泽站,0,塔楼 未知年,341户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027377852/,塔楼,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,暂无门店信息,暂无信息,沙河镇踩河新村,0,海淀北部新区,,,昌平,,0,板楼 未知年,48户,暂无信息,http://bj.lianjia.com/xiaoqu/1111041091518/,板楼,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,北环里店,暂无信息,西环路甲2号,1,鼓楼大街,近地铁昌平线昌平站,昌平区昌平镇西环路18-16号底墒（不包括地下室部分）,昌平,,0,未知类型 未知年,48户,暂无信息,http://bj.lianjia.com/xiaoqu/1111058732772/,未知类型,暂无均价,1,暂无信息,,暂无容积率信息  暂无绿化率信息
