building,prper,names,rents,locs2,schools,locs1,lines,sales,years,houses,comper,url,build,prices,counts,devloper,discribe
25栋,0.8元/平米/月,石油新村4区,3,渤海石油街,,塘沽,,,1997年,940户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211062572103/,板楼,暂无均价,0,无开发商,容积率/1.5  绿化率/10%
5栋,暂无信息,史家庄,1,解放路,,塘沽,滨9号线泰达站,,1992年,180户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811053425620/,板楼,11223,0,天津建委,暂无容积率信息  暂无绿化率信息
8栋,暂无信息,贻新园,0,第二大街,,开发区,滨9号线市民广场站,,未知年,636户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811054061967/,未知类型,18912,0,天津建委,暂无容积率信息  暂无绿化率信息
2栋,暂无信息,财富绿道丹庭,0,新开河,,河北,,,2017年,224户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211099949225/,板楼,暂无均价,0,财富嘉苑（天津）置业有限公司,容积率/1.97  绿化率/35%
37栋,0.5元/平米/月,渤海园别墅,0,工农村,,塘沽,,,1999年,37户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/128145170345726/,未知类型,暂无均价,1,无开发商,容积率/1.6  绿化率/10%
1栋,0.5元/平米/月,勘测楼,1,越秀路,,河西,号线南楼站,,1990年,23户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046592804/,板楼,暂无均价,0,无开发商,容积率/1.5  绿化率/10%
1栋,暂无信息,南大道,0,广开街,,南开,号线广开四马路站,,未知年,5600户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211047247473/,未知类型,暂无均价,0,天津建委,容积率/1.5  绿化率/10%
4栋,3.2元/平米/月,旷世国际,0,大沽街,,塘沽,,,2010年,1085户,暂无信息,http://tj.lianjia.com/xiaoqu/1211100221884/,塔楼/板楼,18028,1,五矿置业（天津）滨海新区有限公司 ,容积率/9  绿化率/25%
7栋,0.5元/平米/月,前进里,3,胡家园,,塘沽,滨9号线胡家园站,,1988年,360户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811054073167/,板楼,7359,1,无开发商,容积率/1.5  绿化率/10%
1栋,暂无信息,广开大街,0,广开街,,南开,号线二纬路站,,未知年,1户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046924036/,未知类型,暂无均价,0,天津建委,容积率/1.6  绿化率/10%
