building,prper,names,rents,locs2,schools,locs1,lines,sales,years,houses,comper,url,build,prices,counts,devloper,discribe
10栋,暂无信息,南海路,0,开发区,二十中附小,开发区,1号线小白楼站,0,未知年,30户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046439140/,未知类型,暂无均价,0,天津建委,容积率/1.6  绿化率/10%
3栋,暂无信息,滨海航天城,0,北塘街,,塘沽,,0,未知年,86户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211725927362148/,塔楼/板楼,暂无均价,0,暂无信息,暂无容积率信息  暂无绿化率信息
1栋,1.5元/平米/月,银洲公寓,3,第三大街,,开发区,,0,2001年,75户,天津天孚物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211062813646/,板楼,11535,3,天津开发区银河实业发展公司,容积率/1.4  绿化率/30%
6栋,0.5元/平米/月,融科翰棠,3,第五大街,,开发区,,1,1990年,217户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811053501474/,板楼,29064,2,无开发商,容积率/1.6  绿化率/10%
12栋,暂无信息,唐望府,0,新河街,,塘沽,,0,2018年,607户,天津市港通物业服务有限公司,http://tj.lianjia.com/xiaoqu/1211401333584752/,板楼,暂无均价,0,源盛（天津）投资发展有限公司,容积率/2  绿化率/35%
1栋,暂无信息,百货楼,0,陈塘庄,,河西,1号线复兴门站,0,未知年,45户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811052074541/,未知类型,暂无均价,0,天津建委,暂无容积率信息  暂无绿化率信息
25栋,暂无信息,夏华园,0,精武镇,,西青,,0,未知年,1600户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211047333821/,未知类型,暂无均价,0,天津建委,暂无容积率信息  暂无绿化率信息
8栋,2元/平米/月,贻欣园,8,第二大街,,开发区,津滨9号线市民广场站,0,2003年,702户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211062798586/,板楼,17631,6,无开发商,容积率/1.6  绿化率/10%
3栋,暂无信息,乐美花园,0,杨柳青,,西青,,0,未知年,112户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811054127190/,未知类型,暂无均价,0,天津建委,暂无容积率信息  暂无绿化率信息
1栋,暂无信息,天房中山路,0,宁园,,河北,,0,2018年,1户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211085444035310/,板楼,暂无均价,0,天津市信欣房地产开发有限公司,暂无容积率信息  绿化率/40%
1栋,暂无信息,昆纬路175号,1,望海楼,,河北,3号线金狮桥站,0,未知年,96户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811053127051/,未知类型,暂无均价,0,天津建委,暂无容积率信息  暂无绿化率信息
38栋,暂无信息,赵沽里东里,1,金钟街,,东丽,,0,未知年,770户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811054253580/,未知类型,暂无均价,0,天津建委,暂无容积率信息  暂无绿化率信息
7栋,暂无信息,薛庄家园,0,张家窝,,西青,,0,未知年,240户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211100291503/,未知类型,暂无均价,0,天津建委,暂无容积率信息  暂无绿化率信息
15栋,2.8元/平米/月,南园,0,八里台,,津南,,0,2017年,186户,天津隆创物业管理有限公司,http://tj.lianjia.com/xiaoqu/126876315266082/,板楼,暂无均价,0,天津滨沣置业有限公司,容积率/1.2  绿化率/40%
24栋,暂无信息,雅馨园,0,杨柳青,,西青,,0,未知年,1252户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811054557357/,未知类型,暂无均价,0,天津建委,暂无容积率信息  暂无绿化率信息
18栋,0.5元/平米/月,雅轩园,0,杨柳青,,西青,,0,2012年,478户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811054561005/,板楼,暂无均价,0,天津建委,容积率/1.6  绿化率/10%
4栋,1.3元/平米/月,博文苑,1,大寺,,西青,,0,2007年,48户,天津市立达信和物业有限公司,http://tj.lianjia.com/xiaoqu/1211046726740/,板楼,暂无均价,1,天津市金坛房地产有限公司,容积率/0.85  绿化率/40%
