building,prper,names,rents,locs2,schools,locs1,lines,sales,years,houses,comper,url,build,prices,counts,devloper,discribe
1栋,0.5元/平米/月,福明里,4,劝业场,哈密道小学,和平,1号线鞍山道站,, / 2009年建成,96户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045875558/,板楼,37634,0,无开发商,容积率/1.5  绿化率/10%
1栋,0.5元/平米/月,晨光里,1,体育馆街,新华南路小学,和平,1号线小白楼站,, / 未知年建成,12户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046439160/,板楼,暂无均价,0,天津建委,容积率/1.6  绿化率/10%
2栋,暂无信息,新兴路,0,南营门街,,和平,3号线西康路站,, / 未知年建成,11户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211047820803/,未知类型,32565,0,天津建委,暂无容积率信息  暂无绿化率信息
1栋,暂无信息,长发公寓,0,新兴街,,和平,3号线西康路站,, / 未知年建成,43户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046413854/,未知类型,30011,0,天津建委,容积率/1.6  绿化率/10%
2栋,0.5元/平米/月,寿荫里,0,劝业场,,和平,1号线营口道站,, / 1985年建成,2户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/128257732358902/,板楼,47165,2,无开发商,容积率/1.6  绿化率/10%
3栋,2.5元/平米/月,格普澜轩,10,新兴街,,和平,3号线西康路站,, / 1996年建成,466户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046434327/,板楼,41915,4,无开发商,容积率/1.5  绿化率/10%
1栋,0.5元/平米/月,铭通里,0,体育馆街,岳阳道小学,和平,3号线西康路站,, / 1979年建成,73户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211047141585/,板楼,38069,3,天津市和平区建设开发公司,暂无容积率信息  暂无绿化率信息
0栋,暂无信息,岳阳道15号,0,新兴街,,和平,,, / 未知年建成,0户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211047062873/,未知类型,24636,0,暂无信息,暂无容积率信息  暂无绿化率信息
2栋,0.5元/平米/月,四平西道,1,南营门街,,和平,3号线西康路站,, / 未知年建成,85户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811053090299/,板楼,29043,1,天津建委,容积率/1.6  绿化率/10%
2栋,暂无信息,广善大街57号,0,南市,,和平,1号线小白楼站,, / 未知年建成,2户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1210588265132123/,塔板结合,暂无均价,0,暂无信息,暂无容积率信息  暂无绿化率信息
2栋,0.5元/平米/月,排水大楼,4,南营门街,湘江道小学,和平,1号线土城站,, / 1987年建成,116户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045850421/,板楼,暂无均价,2,无开发商,容积率/2  绿化率/20%
1栋,1元/平米/月,新疆路三号公寓,0,劝业场,鞍山道小学,和平,1号线鞍山道站,, / 1992年建成,243户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211047333303/,塔板结合,30316,2,无开发商,容积率/1.5  绿化率/10%
1栋,0.5元/平米/月,世界里,2,体育馆街,,和平,1号线营口道站,, / 未知年建成,16户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046962379/,板楼,暂无均价,2,无开发商,暂无容积率信息  暂无绿化率信息
4栋,0.1元/平米/月,河沿里,7,新兴街,昆明路小学,和平,3号线吴家窑站,, / 1985年建成,478户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045901545/,板楼,33374,16,无开发商,容积率/1.5  绿化率/10%
3栋,1.2元/平米/月,金伦公寓,2,南市,万全小学/建物街小学,和平,1号线海光寺站,, / 1997年建成,220户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045939214/,板楼,29210,2,无开发商,容积率/1.5  绿化率/10%
1栋,0.5元/平米/月,庆华里,2,体育馆街,耀华小学,和平,1号线营口道站,, / 1991年建成,112户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046410510/,板楼,32922,5,天津市和平区建设开发公司,容积率/1  绿化率/10%
27栋,0.5元/平米/月,襄阳道,8,体育馆街,和平实验小学/岳阳道小学,和平,1号线营口道站,, / 1987年建成,342户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046433001/,塔楼/板楼,51790,16,天津市和平区建设开发公司,暂无容积率信息  暂无绿化率信息
6栋,0.5元/平米/月,迎春里（和平）,6,新兴街,,和平,3号线西康路站,, / 1984年建成,783户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045952296/,板楼,24954,13,无开发商,容积率/1.4  绿化率/10%
1栋,0.55元/平米/月,锦江里（和平）,4,新兴街,,和平,3号线西康路站,, / 1992年建成,108户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/128842185551081/,板楼,26674,6,无开发商,暂无容积率信息  暂无绿化率信息
5栋,0.15元/平米/月,同发里,16,新兴街,,和平,3号线吴家窑站,, / 1999年建成,1267户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046982107/,板楼,28945,16,无开发商,容积率/1.5  绿化率/10%
2栋,0.5元/平米/月,永勤里,6,体育馆街,,和平,1号线营口道站,, / 1991年建成,243户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045953714/,板楼,43109,7,无开发商,容积率/1.6  绿化率/25.5%
2栋,0.4元/平米/月,爱建公寓,1,劝业场,鞍山道小学,和平,1号线鞍山道站,, / 2002年建成,328户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045859038/,塔板结合,35775,5,无开发商,暂无容积率信息  暂无绿化率信息
5栋,1.2元/平米/月,碧云里,5,新兴街,西康路小学,和平,3号线吴家窑站,, / 1988年建成,348户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211047389351/,板楼,26237,6,无开发商,暂无容积率信息  暂无绿化率信息
